"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1.124,0.488
1,2,0.647,0.463
1,3,1.154,0.532
2,1,1.289,0.955
2,2,1.627,1.114
2,3,2.46,0.465
3,1,1.197,1.199
3,2,0.948,1.59
3,3,3.557,4.751
4,1,4.57,10.134
4,2,42.057,13.59
4,3,20.383,13.05