"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.996,0.059
1,2,0.367,0.008
1,3,1,0.246
2,1,1.453,1.09
2,2,1.754,1.461
2,3,2.625,0.543
3,1,1.559,1.383
3,2,1.059,1.859
3,3,3.371,5.059
4,1,5.148,10.68
4,2,41.281,13.27
4,3,13.516,14.066