"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.953,0.14
1,2,0.703,0.154
1,3,1.337,0.497
2,1,2.151,1.651
2,2,2.791,1.831
2,3,2.049,1.273
3,1,4.985,3.081
3,2,3.468,3.805
3,3,2.547,4.451
4,1,2.27,4.852
4,2,15.035,5.619
4,3,4.201,7.392