"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1,0.232
1,2,0.654,0.078
1,3,1,0.5
2,1,1.814,1.408
2,2,2.052,2.186
2,3,6.922,1.049
3,1,5.007,1.961
3,2,1.144,2.895
3,3,1.951,4.193
4,1,4.154,3.752
4,2,17.359,5.02
4,3,6.716,4.925