"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1.628,1.265
1,2,1.44,1.214
1,3,1.65,1.15
2,1,1.112,0.942
2,2,1.554,1.11
2,3,3.337,0.973
3,1,3.566,2.609
3,2,2.75,3.66
3,3,2.459,3.734
4,1,2.412,2.098
4,2,9.15,2.191
4,3,3.577,2.14