"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,3.673,3.092
1,2,3.671,3.135
1,3,3.557,2.752
2,1,1.779,1.173
2,2,1.506,0.959
2,3,2.478,0.893
3,1,3.365,2.927
3,2,2.99,3.649
3,3,2.557,3.592
4,1,2.317,2.119
4,2,4.753,2.514
4,3,3.291,2.244