"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1.924,1.696
1,2,1.752,1.642
1,3,1.952,1.559
2,1,1.475,1.343
2,2,1.91,1.492
2,3,3.065,0.99
3,1,2.246,1.71
3,2,1.258,2.314
3,3,2.306,3.088
4,1,2.752,4.071
4,2,25.837,5.294
4,3,9.075,4.742