"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,4.382,4.071
1,2,4.53,4.269
1,3,4.141,3.677
2,1,1.849,1.448
2,2,1.287,0.999
2,3,1.105,0.753
3,1,2.027,1.944
3,2,1.783,2.299
3,3,1.519,2.063
4,1,1.304,1.799
4,2,3.357,1.932
4,3,2.508,1.753