"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.727,0.071
1,2,0.342,0.112
1,3,0.962,0.214
2,1,2.067,1.162
2,2,2.314,1.378
2,3,2.007,1.043
3,1,4.109,1.945
3,2,1.891,2.577
3,3,1.803,2.487
4,1,1.252,1.886
4,2,6.796,1.917
4,3,1.629,2.914