"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.912,0.498
1,2,0.679,0.566
1,3,1.224,0.801
2,1,2.429,2.276
2,2,3.363,2.536
2,3,2.13,1.562
3,1,2.13,1.615
3,2,1.799,1.457
3,3,1.985,2.169
4,1,3.761,4.154
4,2,13.062,4.741
4,3,4.776,5.248