"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1.105,0.979
1,2,0.986,0.92
1,3,1.119,1.101
2,1,1.615,1.448
2,2,1.892,1.58
2,3,1.448,1.21
3,1,2.343,2.524
3,2,2.399,2.587
3,3,2.888,3.976
4,1,7.752,10.199
4,2,17.951,12.437
4,3,14.629,12.455