"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1.638,1.433
1,2,1.507,1.186
1,3,1.551,1.299
2,1,1.428,1.081
2,2,1.867,1.275
2,3,2.695,1.438
3,1,4.037,4.368
3,2,4.057,5.51
3,3,4.289,6.272
4,1,3.661,5.455
4,2,25.181,5.985
4,3,14.753,5.349