"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.91,0.577
1,2,0.615,0.538
1,3,1.026,0.679
2,1,2.038,1.256
2,2,2.397,1.269
2,3,1.487,0.949
3,1,2,1.718
3,2,1.795,1.936
3,3,3.167,4.718
4,1,9.103,13.603
4,2,28.205,17.077
4,3,18.026,17.128