"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1.248,0.877
1,2,0.818,0.927
1,3,1.3,1.281
2,1,1.52,1.08
2,2,1.775,1.442
2,3,2.369,1.596
3,1,4.26,6.428
3,2,4.78,7.79
3,3,7.674,8.144
4,1,9.596,13.34
4,2,48.024,15.626
4,3,32.092,15.206