"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.857,0
1,2,0.143,0
1,3,0.929,0.071
2,1,0.929,0
2,2,1,0
2,3,2.714,0
3,1,1.857,2
3,2,1,2.929
3,3,3.571,6.429
4,1,4.857,10.143
4,2,36.143,14
4,3,21.786,13.5