"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.827,0
1,2,0.525,0.006
1,3,1.061,0.095
2,1,1.994,0.955
2,2,2.307,1.223
2,3,1.408,0.687
3,1,3.972,2.57
3,2,2.564,3.771
3,3,4.006,6.849
4,1,4.246,9.955
4,2,29.313,12.33
4,3,10.425,14.648