"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.54,0
1,2,0,0
1,3,1,0.048
2,1,2.111,1.365
2,2,2.476,1.397
2,3,1.111,0.508
3,1,1.651,1.238
3,2,1.048,1.286
3,3,2.302,4.048
4,1,6.476,11.571
4,2,37.333,13.873
4,3,9.111,15.794