"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1.368,0.786
1,2,1.026,0.763
1,3,1.293,0.996
2,1,0.992,0.966
2,2,1.06,1
2,3,1.12,0.883
3,1,2.214,2.658
3,2,2.019,3.041
3,3,2.481,5.823
4,1,8.556,13.195
4,2,39.35,15.835
4,3,27.323,15.914