"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.792,0.36
1,2,0.454,0.156
1,3,0.902,0.244
2,1,1.495,0.998
2,2,1.911,1.242
2,3,1.962,1
3,1,2.669,1.685
3,2,2.02,2.174
3,3,1.539,2.248
4,1,2.505,1.016
4,2,4.971,1.101
4,3,2.23,1.412