"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.788,0
1,2,0.029,0
1,3,0.949,0
2,1,1.759,1
2,2,1.934,1.343
2,3,2.029,0.993
3,1,6.109,2.197
3,2,1.664,3.796
3,3,2.956,5.124
4,1,2.584,4.292
4,2,15.35,5.628
4,3,6.394,6.511